订单编号,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码
208011225488565543,白色衬衫女2018早秋新款宽松港味长袖慵懒衬衣bf风chic早秋衬衫,228,1,AW1489_1,颜色分类：白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1489_1
208011225488565543,毛衣外套女韩版2018秋季新款针织衫慵懒风宽松chic罩衫薄款复古,268,1,AW1495_1,颜色分类：白色;尺码：S,null,null,买家已付款，等待卖家发货,AW1495_1
206649390720962554,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_1,颜色分类：拼色;尺码：S,null,null,买家已付款，等待卖家发货,AW1165_1
207668999271148030,pphome裙18吊带背带连衣裙女2018夏装新款宽松复古长裙子中长款夏,240,1,AW301,颜色分类：绿色;尺码：均码,null,null,卖家已发货，等待买家确认,AW301
207668999271148030,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,交易关闭,AW1344_2
206378572547558571,性感连衣裙夏2018新款宽松长裙露背女裙子小心机设计感格子温柔裙,239,1,AW1403_2,颜色分类：蓝白格;尺码：M,null,null,卖家已发货，等待买家确认,AW1403_2
206366897658497942,格纹连衣裙女夏2018新款荷叶边裙慵懒风裙子宽松极简主义长裙复古,258,1,AW1387_2,颜色分类：红蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1387_2
207081948383786914,2017夏季新款黑色蕾丝吊带连衣裙女中长款露肩丝绒打底裙显瘦镂空,130,1,AW182_1,颜色分类：黑色;尺码：S,null,null,卖家已发货，等待买家确认,AW182_1
207081948383786914,黑灰影子插肩风衣女中长款韩版春季2018新款lulu外套欧洲站女装,447,1,AW1162_1,颜色分类：黑灰色;尺码：S,null,null,卖家已发货，等待买家确认,AW1162_1
207063300089874719,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1344_2
206292808132017663,裤子2018新款女夏韩版休闲裤薄款哈伦裤宽松直筒高腰裤子长裤小脚,228,1,AW1463_1,颜色分类：米白色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1463_1
206287071358558571,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_2,颜色分类：\白;尺码：M,null,null,卖家已发货，等待买家确认,AW1474_2
206287071358558571,2018春秋新款韩版开学季chic外套女宽松百搭中长款棒球服学生港味,448.5,1,AW1051_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1051_2
206153986698834543,撞色拼接复古印花连衣裙夏2018新款宽松长裙女慵懒风chic裙子极简,208,1,AW1345_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1345_2
206153986698834543,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
206220484730014060,2018秋季sukol裙复古波点收腰连衣裙女pphome裙子中长款风衣外套,666,1,AW1154_1,颜色分类：浅卡其;尺码：S,null,null,卖家已发货，等待买家确认,AW1154_1
206964628067502405,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
207229370624727106,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1394_2
206165661820896865,性感连衣裙夏2018新款宽松长裙露背女裙子小心机设计感格子温柔裙,239,1,AW1403_1,颜色分类：蓝白格;尺码：S,null,null,卖家已发货，等待买家确认,AW1403_1
207430971381271129,复古印花连衣裙女夏2018新款宽松中长款 i miss裙收腰遮肚子裙子,258,1,AW1435_1,颜色分类：印花蓝;尺码：S,null,null,卖家已发货，等待买家确认,AW1435_1
206162216465771581,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
207074025787933126,2018秋季新款条纹衬衫裙韩版宽松pp home裙子长裙港味连衣裙女,198,1,AW1485_2,颜色分类：蓝条纹;尺码：M,null,null,卖家已发货，等待买家确认,AW1485_2
206200999286339478,红色风衣女2018春秋季新款韩版中长款工装风宽松lulu薄款外套英伦,716,1,AW015_3,颜色分类：红色[砖红];尺码：S码(S适合S-M),null,null,卖家已发货，等待买家确认,AW015_3
206108373616665276,夏网纱蕾丝衫女镂空雪纺衫女娃娃衫网红同款上衣气质超仙chic蓬蓬,282,1,AW1188_1,颜色分类：藏青色;尺码：S,null,null,卖家已发货，等待买家确认,AW1188_1
206891044980842023,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
206891044980842023,木耳荷叶边连衣裙秋装2018新款宽松港味气质中长款chic衬衫女裙子,288,1,AW1483_2,颜色分类：锈红色[活动价229提前享];尺码：M,null,null,卖家已发货，等待买家确认,AW1483_2
206891044980842023,春秋风衣女秋季2018新款韩版学历外套宽松中长款chic休闲lulu外套,508.5,1,AW1165_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1165_2
206122711064491271,裙子夏黑色波点法式复古樱田川岛连衣裙女宽松中长款过膝T恤裙,228,1,AW1299_1,颜色分类：黑色;尺码：S,null,null,卖家已发货，等待买家确认,AW1299_1
176170011337251298,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1390_1
206976109439005914,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
206976109439005914,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
206964489427120424,2018春秋新款chic西装阔腿裤闺蜜装时尚俏皮社会套装女港风两件套,888,1,AW1130_2,颜色分类：天空蓝;尺码：M,null,null,卖家已发货，等待买家确认,AW1130_2
176153070085214996,白色连衣裙女2018秋装新款韩版宽松中长款长裙女慵懒风chic裙子,268,1,AW1486_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1486_2
176153070085214996,2018秋季新款条纹衬衫裙韩版宽松pp home裙子长裙港味连衣裙女,198,1,AW1485_2,颜色分类：蓝条纹;尺码：M,null,null,卖家已发货，等待买家确认,AW1485_2
205998976947264245,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_1,颜色分类：白色[送打底吊带];尺码：S,null,null,卖家已发货，等待买家确认,AW1400_1
207079234065669526,格纹连衣裙女夏2018新款荷叶边裙慵懒风裙子宽松极简主义长裙复古,258,1,AW1387_2,颜色分类：红蓝格;尺码：M,null,null,卖家已发货，等待买家确认,AW1387_2
205964060817680370,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1468_2
205998447374049488,2018秋季新款条纹衬衫裙韩版宽松pp home裙子长裙港味连衣裙女,198,1,AW1485_1,颜色分类：蓝条纹;尺码：S,null,null,卖家已发货，等待买家确认,AW1485_1
205998447374049488,白色衬衫洋气小衫女夏韩版荷叶边娃娃衫波点雪纺上衣chic蓬蓬衬衣,239,1,AW1448_1,颜色分类：蓝波点[波点位置随机];尺码：S,null,null,卖家已发货，等待买家确认,AW1448_1
205998447374049488,花苞短裤女夏2018新款宽松热裤高腰阔腿裤薄款哈伦裤裤子显瘦裤裙,198,1,AW1458_1,颜色分类：蓝色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1458_1
206770728020521529,条纹连衣裙女夏2018新款宽松中长款鱼尾裙慵懒风裙子极简主义长裙,288,1,AW1444_2,颜色分类：蓝白;尺码：M,null,null,卖家已发货，等待买家确认,AW1444_2
206908097636597023,2018新款夏季薄款拼接条纹短袖寸衫裙女宽松长款冷淡风裙子简约,218,1,AW1290_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1290_2
206908097636597023,白色连衣裙女2018秋装新款韩版宽松中长款长裙女慵懒风chic裙子,268,1,AW1486_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1486_2
205925393304316941,2018秋季新款条纹衬衫裙韩版宽松pp home裙子长裙港味连衣裙女,198,1,AW1485_2,颜色分类：蓝条纹;尺码：M,null,null,卖家已发货，等待买家确认,AW1485_2
205925393304316941,2018秋新款韩版宽松中长款早秋衬衫裙慵懒风chic上衣港味长袖外套,269,1,AW1506_2,颜色分类：肉桂色;尺码：M,null,null,卖家已发货，等待买家确认,AW1506_2
207044598897090500,花苞短裤女夏2018新款宽松热裤高腰阔腿裤薄款哈伦裤裤子显瘦裤裙,198,1,AW1458_2,颜色分类：蓝色;尺寸：M,null,null,卖家已发货，等待买家确认,AW1458_2
205850718468820247,重工刺绣连衣裙女夏2018新款宽松中长款蕾丝冷淡风仙女裙子超仙,268,1,AW1291_2,颜色分类：卡其色;尺码：M,null,null,卖家已发货，等待买家确认,AW1291_2
205850718468820247,2018夏季新款侧开叉ins超火的蓝色条纹衬衫女宽松短袖漏锁骨上衣,218,1,AW1216_1,颜色分类：蓝白;尺码：S,null,null,卖家已发货，等待买家确认,AW1216_1
205850718468820247,2018夏季新款前短后长短袖T恤女网红同款上衣ins超火的上衣衣服,168,1,AW1225_2,主要颜色：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1225_2
205850718468820247,2018秋季新款高腰条纹棉麻亚麻阔腿裤女港味ins超火的ulzzang裤子,248,1,AW1215_2,颜色分类：条纹;尺寸：M,null,null,卖家已发货，等待买家确认,AW1215_2
206875253923101738,大格子收腰连衣裙女V领黄白系带温柔裙超仙a字裙宽松娃娃裙夏新款,249,1,AW1317_2,颜色分类：桔色;尺码：M,null,null,卖家已发货，等待买家确认,AW1317_2
206723324778431133,裙子女夏2018新款宽松韩版鱼尾中长款极简主义裙慵懒风韩国连衣裙,238,1,AW1340_2,颜色分类：桃红色;尺码：M,null,null,卖家已发货，等待买家确认,AW1340_2
206707560911661936,2018新款学院风娃娃领连衣裙女韩版宽松慵懒风裙夏褶皱裙复古,229,1,AW1398_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW1398_1
206706300075819728,秋季新款英伦风毛呢格子小西装外套女中长款韩版宽松休闲chic西服,387,1,AW809_1,颜色分类：格子;尺码：S,null,null,卖家已发货，等待买家确认,AW809_1
205761762172570159,春季复古温柔风小西装时髦套装女装收腰阔腿裤套装时尚两件套港风,888,1,AW1141_1,颜色分类：拉菲红;尺码：S,null,null,卖家已发货，等待买家确认,AW1141_1
206824993531167334,2018新款鱼尾连衣裙女夏宽松中长款慵懒风裙子 i miss裙超仙甜美,248,1,AW1446_1,颜色分类：桔色;尺码：S,null,null,卖家已发货，等待买家确认,AW1446_1
205811237125411868,复古连衣裙夏装宽松2018新款中长款慵懒风裙子温柔i miss裙超仙女,246,1,AW1338_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1338_2
205811237125411868,拼接连衣裙女夏季2018新款宽松V领荷叶边裙pp home裙子慵懒风裙子,189,1,AW1379_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1379_2
206803965026064139,2018新款韩版极简主义名媛连衣裙慵懒风裙子女夏温柔裙超仙显瘦,189,1,AW1394_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1394_1
206942986522326508,拼接条纹衬衫女韩版宽松chic早秋长款前短后长上衣港味长袖衬衣潮,229,1,AW1500_2,颜色分类：藏青白;尺码：M,null,null,交易关闭,AW1500_2
206942986522326508,2018早秋新款小蜜蜂花色短袖衬衫女韩范娃娃衫chic上衣慵懒风港味,282,1,AW1205_2,颜色分类：花色;尺码：M,null,null,卖家已发货，等待买家确认,AW1205_2
206942986522326508,2018秋季新款chic早秋衬衫女韩范长袖复古波点条纹衬衣学院风上衣,199,1,AW1479_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1479_2
206942986522326508,长款T恤裙子夏季2018新款宽松过膝连衣裙女极简主义慵懒风假两件,208,1,AW1351_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1351_2
206942986522326508,2018新款张韶涵明星同款民族风印花连体裤宽松女夏阔腿裤薄款短裤,248,1,AW1377_2,颜色分类：印花;尺寸：M,null,null,卖家已发货，等待买家确认,AW1377_2
176026257939845097,阔腿裤女2018新款秋季韩版运动裤女宽松直筒休闲裤百搭长裤高腰,228,1,AW1476_1,颜色分类：红色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1476_1
176026257939845097,毛衣外套女韩版2018秋季新款针织衫慵懒风宽松chic罩衫薄款复古,268,3,AW1495_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1495_1
176026257939845097,白色衬衫女2018秋季新款宽松港味长袖恶魔衬衣bf风chic早秋衬衫,228,1,AW1489_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1489_1
176026257939845097,原宿风格纹撞色马甲女2018新款秋冬韩版宽松小香风背心坎肩外套,328,1,AW1468_1,颜色分类：花色;尺码：S,null,null,卖家已发货，等待买家确认,AW1468_1
207112135543826429,长款T恤裙子夏季2018新款宽松过膝连衣裙女极简主义慵懒风假两件,208,1,AW1351_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1351_2
207112135543826429,渐变蓝白条纹衬衫女秋季2018新款韩版宽松中长款chic早秋长袖外套,313.5,1,AW1173_2,颜色分类：蓝白条纹;尺码：M,null,null,卖家已发货，等待买家确认,AW1173_2
206871278630472538,蓝色条纹衬衫裙女2018春季新款韩范中长款收腰宽松衬衣chic上衣,267,1,AW790_1,颜色分类：蓝色;尺码：S,null,null,卖家已发货，等待买家确认,AW790_1
206871278630472538,2018春秋季新款白色衬衫女chic长袖韩版学生上衣百搭宽松打底衬衣,245,1,AW396,颜色分类：白色;尺码：均码,null,null,卖家已发货，等待买家确认,AW396
206871278630472538,藏青色港风外套女2018春季韩版新款欧美宽松藏青色风衣中长款chic,498,1,AW394_1,颜色分类：藏青色;尺码：S,null,null,卖家已发货，等待买家确认,AW394_1
206871278630472538,2018秋季新款韩版豆沙红风衣女中长款过膝春秋港风chic外套lulu,507,1,AW812_2,颜色分类：豆沙红;尺码：M,null,null,卖家已发货，等待买家确认,AW812_2
206867162523794524,2018秋季新款韩版宽松英伦格子拼接风衣女港风外套过膝长款风衣,288,1,AW1472_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW1472_1
205614314053102391,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_1,颜色分类：白色[送打底吊带];尺码：S,null,null,卖家已发货，等待买家确认,AW1400_1
205611626607915384,朋克风黑色铆钉小皮裙女2018春季新款韩版高腰包臀半身裙a字裙,297,1,AW885_2,颜色分类：黑色;尺码：M,null,老顾客,卖家已发货，等待买家确认,AW885_2
205675800822567591,拼接条纹小西装外套女港味复古chic小香风西服休闲韩版宽松薄款,258,1,AW1474_2,颜色分类：\白;尺码：M,null,null,卖家已发货，等待买家确认,AW1474_2
206545552410972123,港味复古连衣裙女2018新款收腰长裙慵懒风pp home裙子夏极简主义,218,1,AW1399_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1399_1
205644245248175486,2018新款宽松韩版拼接连衣裙女夏荷叶边裙慵懒风pp home裙子显瘦,199,1,AW1391_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1391_2
207025811318349503,复古印花连衣裙女夏2018新款宽松中长款 i miss裙收腰遮肚子裙子,258,1,AW1435_1,颜色分类：印花蓝;尺码：S,null,null,卖家已发货，等待买家确认,AW1435_1
205631644781721679,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
206504056097964431,条纹连衣裙女夏2018新款宽松中长款鱼尾裙慵懒风裙子极简主义长裙,288,1,AW1444_2,颜色分类：蓝白;尺码：M,null,null,卖家已发货，等待买家确认,AW1444_2
206630869089231220,2018秋装新款韩版复古休闲萝卜裤运动九分小脚裤铅笔裤长裤女韩国,252,1,AW1068_3,颜色分类：蓝色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1068_3
206773362665076429,半身裙夏女2018新款解构撞色百褶A字裙宽松气质拼色ins超火的裙子,226,1,AW1272_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1272_2
205473306987396494,2018新款宽松荷叶袖女娃娃衫上衣蓬蓬夏洋气小衫露背心机设计衬衫,238,1,AW1455_1,颜色分类：卡其+白;尺码：S,null,null,卖家已发货，等待买家确认,AW1455_1
205473306987396494,2018春秋新款ins超火的衬衫女宽松港风长款心机衬衫设计感衬衣裙,276,1,AW1217_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1217_1
205473306987396494,裤子2018新款女夏韩版休闲裤薄款哈伦裤宽松直筒高腰裤子长裤小脚,228,1,AW1463_1,颜色分类：米白色;尺寸：S,null,null,卖家已发货，等待买家确认,AW1463_1
205592391112923049,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_1,颜色分类：白色[送打底吊带];尺码：S,null,null,卖家已发货，等待买家确认,AW1400_1
205592391112923049,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
205486297728512072,条纹连衣裙女夏2018新款宽松中长款鱼尾裙慵懒风裙子极简主义长裙,288,1,AW1444_2,颜色分类：蓝白;尺码：M,null,null,卖家已发货，等待买家确认,AW1444_2
205482853764326268,白色连衣裙女2018秋装新款韩版宽松中长款长裙女慵懒风chic裙子,268,1,AW1486_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1486_1
205534599936352456,裙子女2018夏新款红色连衣裙女衬衣裙极简主义宽松中长款衬衫裙,219,1,AW280_1,颜色分类：红色;尺码：S,null,null,卖家已发货，等待买家确认,AW280_1
205442925633563184,2018夏新款法式复古黑色连衣裙女宽松极简主义慵懒风chic长裙子,285,1,AW1309_2,颜色分类：黑色;尺码：M,null,null,卖家已发货，等待买家确认,AW1309_2
205429260156841742,2018秋季新款条纹衬衫裙韩版宽松pp home裙子长裙港味连衣裙女,198,1,AW1485_1,颜色分类：蓝条纹;尺码：S,null,null,卖家已发货，等待买家确认,AW1485_1
206867387254090500,白色衬衫洋气小衫女夏韩版荷叶边娃娃衫波点雪纺上衣chic蓬蓬衬衣,239,1,AW1448_1,颜色分类：蓝波点[波点位置随机];尺码：S,null,null,卖家已发货，等待买家确认,AW1448_1
206867387254090500,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_1,颜色分类：印花;尺码：S,null,null,卖家已发货，等待买家确认,AW1344_1
206478381021463406,长款T恤裙子夏季2018新款宽松过膝连衣裙女极简主义慵懒风假两件,208,1,AW1351_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1351_2
206478381021463406,裙子夏黑色波点法式复古樱田川岛连衣裙女宽松中长款过膝T恤裙,228,1,AW1299_2,颜色分类：黑色;尺码：M,null,null,卖家已发货，等待买家确认,AW1299_2
205297746789485771,复古连衣裙夏装宽松2018新款中长款慵懒风裙子温柔i miss裙超仙女,246,1,AW1338_2,颜色分类：白色;尺码：M,null,null,卖家已发货，等待买家确认,AW1338_2
205297746789485771,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
206787391014617110,黑白波点衬衫女洋气小衫港风衬衣2018新款秋季女上衣娃娃衫chic,198,1,AW1484_2,颜色分类：黑白波点;尺码：M,null,null,买家已付款，等待卖家发货,AW1484_2
206787391014617110,红色半身裙女2018秋季新款chic短裙高腰A字裙韩版宽松包臀裙复古,179,1,AW1499_2,颜色分类：桔红;尺码：M,null,null,卖家已发货，等待买家确认,AW1499_2
206769191932053712,V领碎花连衣裙女夏2018新款宽松中长款荷叶边复古chic冷淡风裙子,218,1,AW1334_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1334_2
206397657127579301,2018夏新款宽松港味复古连衣裙ins超火慵懒风pp home裙子韩版女装,298,1,AW1400_2,颜色分类：白色[送打底吊带];尺码：M,null,null,卖家已发货，等待买家确认,AW1400_2
206256956431156508,短袖女2018新款撞色拼接宽松T恤樱田川岛t恤韩版ins超火的上衣潮,218,1,AW1367_2,主要颜色：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1367_2
205195322616808260,港味极简主义连衣裙夏2018新款宽松冷淡风中长款裙子女慵懒风chic,269,1,AW1344_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1344_2
205229845734516769,阳光小香风流苏马甲女春秋中长款韩版2018新款宽松坎肩背心马夹,462,1,AW1149_1,颜色分类：浅黄色;尺码：S,null,null,卖家已发货，等待买家确认,AW1149_1
206353893563358928,裙子女夏2018新款pp home心机设计感T恤裙sukol裙连衣裙小清新,199,1,AW1406_1,颜色分类：黑白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1406_1
206489022680960105,原宿风工装外套女韩版港风复古chic宽松欧美嘻哈风衣学生棒球服bf,387,1,AW798_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW798_2
205125742050648183,毛衣外套女韩版2018秋季新款针织衫慵懒风宽松chic罩衫薄款复古,268,1,AW1495_1,颜色分类：白色;尺码：S,null,null,卖家已发货，等待买家确认,AW1495_1
205125742050648183,彩色条纹针织衫女2018秋新款宽松长袖喇叭袖套头上衣chic罩衫毛衣,228,1,AW1497_2,颜色分类：彩色条纹;尺码：M,null,null,买家已付款，等待卖家发货,AW1497_2
206193564239396739,条纹拼接风衣女中长款韩版秋季2018新款港风chic气质lulu学历外套,288,1,AW1470_1,颜色分类：拼色;尺码：S,null,null,交易关闭,AW1470_1
206193564239396739,2018秋季新款chic早秋衬衫女韩范长袖复古波点条纹衬衣学院风上衣,199,1,AW1479_2,颜色分类：黑白;尺码：M,null,null,卖家已发货，等待买家确认,AW1479_2
205191207806594480,连帽印花松松垮垮卫衣女2018秋新款慵懒风宽松长袖ins超火的外套,268,1,AW1488_2,颜色分类：印花;尺码：M,null,null,卖家已发货，等待买家确认,AW1488_2
205179979596232050,2018新款宽松韩版拼接连衣裙女夏荷叶边裙慵懒风pp home裙子显瘦,199,1,AW1391_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1391_2
205137948276541263,2018秋季新款宽松韩版长袖套头毛衣女慵懒风chic针织衫外套上衣,258,1,AW1496_2,颜色分类：黄色;尺码：M,null,null,卖家已发货，等待买家确认,AW1496_2
206281149684092033,大格子收腰连衣裙女V领黄白系带温柔裙超仙a字裙宽松娃娃裙夏新款,249,1,AW1317_1,颜色分类：桔色;尺码：S,null,null,卖家已发货，等待买家确认,AW1317_1
205032754949516769,原宿简约拼色呢大衣女2017冬季新款韩版中长款撞色过膝呢子外套潮,507,1,AW979_1,颜色分类：拼色;尺码：S,null,null,卖家已发货，等待买家确认,AW979_1
205094129937017663,2018新款宽松荷叶袖女娃娃衫上衣蓬蓬夏洋气小衫露背心机设计衬衫,238,1,AW1455_1,颜色分类：卡其+白;尺码：S,null,null,卖家已发货，等待买家确认,AW1455_1
206417762812175429,波点宽松连衣裙女夏2018新款中长款T恤裙慵懒风裙子极简主义长裙,238,1,AW1437_2,颜色分类：波点;尺码：M,null,null,卖家已发货，等待买家确认,AW1437_2
206620511530175429,2018新款极简主义连衣裙女中长款慵懒风休闲chic复古鱼尾裙子港味,258,1,AW1390_2,颜色分类：拼色;尺码：M,null,null,卖家已发货，等待买家确认,AW1390_2
